Running tournament. This may take awhile.
   	      	                    fitness                    	                      size                     
   	      	-----------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min    	nevals	std    	avg 	gen	max	min	nevals	std    
0  	600   	2720.51	0  	4934.97	1893.49	600   	199.475	4.11	0  	7  	2  	600   	1.70526
1  	524   	2630   	1  	5191.39	1893.49	524   	200.428	4.22167	1  	13 	1  	524   	2.0023 
2  	525   	2593.43	2  	4934.97	1297.85	525   	281.001	4.57167	2  	16 	1  	525   	2.3843 
3  	513   	2568.11	3  	5191.39	940.929	513   	385.919	5.32667	3  	17 	1  	513   	2.55473
4  	525   	2537.88	4  	17797.1	911.304	525   	781.68 	6.235  	4  	19 	1  	525   	2.80591
5  	535   	2543.8 	5  	14349.7	733.856	535   	906.237	7.08833	5  	18 	1  	535   	2.93551
6  	526   	2701.69	6  	75491.9	271.175	526   	3384.12	8.16333	6  	21 	1  	526   	3.52798
7  	531   	3514.55	7  	401966 	67.8677	531   	16748  	9.28333	7  	29 	1  	531   	4.1697 
8  	520   	3232.39	8  	190771 	67.8677	520   	9398.97	10.4583	8  	29 	1  	520   	4.50425
9  	524   	3548.72	9  	168278 	4.26593e-29	524   	9194.41	11.935 	9  	37 	1  	524   	5.47029
10 	520   	7476.1 	10 	1.5639e+06	3.76527e-29	520   	70274.1	13.6267	10 	45 	1  	520   	6.39353
11 	530   	3441.64	11 	158753    	3.76527e-29	530   	10452.8	15.3533	11 	47 	1  	530   	7.10154
12 	521   	17801.4	12 	7.11147e+06	3.76527e-29	521   	291272 	17.4483	12 	47 	1  	521   	7.73352
13 	534   	14445.5	13 	3.28282e+06	2.2569e-29 	534   	148526 	19.48  	13 	63 	1  	534   	8.46736
14 	515   	46857.2	14 	2.41933e+07	2.2569e-29 	515   	987743 	20.775 	14 	64 	1  	515   	8.73753
15 	508   	14541.4	15 	2.50031e+06	2.2569e-29 	508   	119543 	22.34  	15 	54 	1  	508   	8.7621 
16 	530   	9847.06	16 	1.29032e+06	2.2569e-29 	530   	69628  	23.6217	16 	56 	1  	530   	9.5613 
17 	525   	29427.8	17 	7.33911e+06	2.2569e-29 	525   	327592 	24.5617	17 	67 	2  	525   	10.4629
18 	515   	44599.2	18 	8.17232e+06	2.25847e-29	515   	462877 	24.8267	18 	58 	1  	515   	10.4793
19 	523   	16020.7	19 	2.57127e+06	2.2569e-29 	523   	136199 	25.6617	19 	63 	1  	523   	10.2749
20 	520   	35352.2	20 	1.56481e+07	2.2569e-29 	520   	641634 	26.3267	20 	70 	1  	520   	11.1256
21 	526   	103331 	21 	5.84728e+07	2.2569e-29 	526   	2.3851e+06	27.1683	21 	68 	1  	526   	11.4806
22 	537   	28855.1	22 	1.2136e+07 	2.25847e-29	537   	499086    	28.0983	22 	68 	1  	537   	11.9279
23 	518   	18695.7	23 	3.97821e+06	2.25847e-29	518   	191369    	28.835 	23 	75 	1  	518   	12.8419
24 	528   	19602.8	24 	4.11195e+06	2.25847e-29	528   	192374    	29.9567	24 	81 	3  	528   	14.0142
25 	523   	25506  	25 	1.04228e+07	2.16618e-29	523   	429350    	30.8267	25 	81 	1  	523   	13.7677
26 	518   	23939.6	26 	4.73282e+06	2.16618e-29	518   	249957    	32.1217	26 	78 	1  	518   	14.2457
27 	514   	25314.6	27 	4.62642e+06	2.16618e-29	514   	265402    	32.6983	27 	83 	3  	514   	14.1911
28 	532   	10001.4	28 	1.65088e+06	2.16618e-29	532   	81502.4   	34.6067	28 	91 	1  	532   	14.7692
29 	547   	215816 	29 	9.56364e+07	2.2569e-29 	547   	3.93607e+06	35.4167	29 	92 	1  	547   	15.7198
30 	516   	421941 	30 	1.58034e+08	2.2569e-29 	516   	7.22177e+06	35.9667	30 	94 	3  	516   	16.3241
31 	519   	32282.3	31 	6.36314e+06	2.2569e-29 	519   	342340     	36.0883	31 	91 	1  	519   	16.6835
32 	528   	62288.6	32 	1.31137e+07	2.2569e-29 	528   	683153     	37.7917	32 	101	1  	528   	17.0573
33 	512   	35024.6	33 	7.59136e+06	2.2569e-29 	512   	406413     	38.7133	33 	104	2  	512   	18.0536
34 	527   	163438 	34 	6.08382e+07	2.2569e-29 	527   	2.55167e+06	38.855 	34 	117	1  	527   	18.3262
35 	516   	48856  	35 	1.22952e+07	2.2569e-29 	516   	595272     	38.785 	35 	125	3  	516   	17.744 
36 	510   	84463.5	36 	2.93546e+07	2.08163e-29	510   	1.27463e+06	39.56  	36 	101	1  	510   	18.7738
37 	525   	33669.3	37 	9.70263e+06	2.08163e-29	525   	487436     	42.6317	37 	123	1  	525   	19.7195
38 	542   	8396.69	38 	3.12632e+06	2.08163e-29	542   	128603     	43.7283	38 	112	2  	542   	19.5599
39 	510   	201078 	39 	1.11289e+08	2.08163e-29	510   	4.5403e+06 	47.1233	39 	114	1  	510   	20.9248
40 	509   	7645.64	40 	1.36667e+06	2.08163e-29	509   	70478.4    	49.4667	40 	114	1  	509   	21.9679
41 	516   	60869  	41 	2.4091e+07 	2.2569e-29 	516   	1.01845e+06	50.49  	41 	121	1  	516   	22.9155
42 	536   	39613.6	42 	1.01521e+07	2.2569e-29 	536   	485829     	52.2083	42 	116	6  	536   	22.333 
43 	520   	836410 	43 	4.60486e+08	2.2569e-29 	520   	1.88324e+07	53.2367	43 	127	3  	520   	23.143 
44 	507   	44708.1	44 	1.94771e+07	2.2569e-29 	507   	805264     	52.7583	44 	178	1  	507   	24.3606
45 	520   	898793 	45 	4.96703e+08	2.2569e-29 	520   	2.02824e+07	50.6667	45 	125	1  	520   	22.8624
46 	518   	1.84219e+07	46 	1.08577e+10	2.2569e-29 	518   	4.42906e+08	52.02  	46 	166	1  	518   	21.6008
47 	514   	554539     	47 	2.25598e+08	1.31851e-29	514   	9.6752e+06 	52.8833	47 	129	6  	514   	21.4971
48 	520   	4.03831e+06	48 	1.12911e+09	1.31851e-29	520   	6.52269e+07	53.7733	48 	130	2  	520   	21.7759
